action	(modifier) changes preceding word to an uncountable noun; for all terms, but usually for those with more than one syllable	: cheese ~; one-shot Johnson ~; d-boost ~ (p rD_lxY6w3Go 8:49); double d-boost ~ (p rD_lxY6w3Go 10:41); hold-right ~; a little 10-Coin ~ here; B-flat ~ (p zXK59lpqeRs 1:00); top ~ (p jUPAlhDr4jY 6:43); dev block ~ (p jUPAlhDr4jY 19:51); a lil Star ~ (p 2_kagAau30g 0:10); a lil power-up ~ (r XTNATMnFbLI 3:11); a lil 1-Up ~ there (p U0fbf4ItXg4 13:46); a lil double jump ~ (p aykk1MWxpmo 13:36); we got some clear pipe ~ (p aykk1MWxpmo 14:57); a lil yoink ~ (r IisH5nDAZts 12:52); a lil PB ~ (r bpeM_cqa1_4 11:08); a little speedrun ~ (r KvI6_nBsR3E 6:00)	> -age; -skies												
aesthetics	decoration	: what is this? I think it’s just ~ (p rD_lxY6w3Go 0:52)													
-age	(modifier) changes word to an uncountable noun; for terms with one syllable that either do not end in a plosive, or that end in a velar plosive, like ‘k’ or ‘g’	: life-farmage (p 88YCdFznRk0 20:25); optimal twirlage (r 6wYESz2lxSw 6:40)	> action; -skies; coinage; schmoveage; nannage; fannage; gameage												
airball	something that misses its target, usually a thrown object or a jump	: I ~ed that (p Ih5dQAGvRdc 4:40); that was an ~ (p 2_kagAau30g 4:40); I am an ~er, dude (p 8RYG0HDB1ek 13:00); an ~, that’s what that was (p -AI9_ckc6TY 8:18)	> snipe												
Alabama beach mouse	a (Spiny) Skipsqueak	: don’t worry, we’ll save the ~, our boi (p oAaggDX0cPA 19:55)	> our boi												
Amazon Delivery Services	said when carrying a Crate	> box													
axe	the goal at the end of a castle level	> orb													
backthrow Andy	(rays mp) someone who picks up another player and throws them backwards to give them a disadvantage	: we got a ~ (r i6f4xewhmKY 0:00); I got to be a ~ (r IisH5nDAZts 9:02)	> toxic												
baited	> jebaited	: I got so ~ (p AD7Fx9TCPYM10:14)													
banger	Superball Flower	: ~ alert (p U0fbf4ItXg4 1:36)	; a music level	: wait, is this a ~? ~ level incoming? (r D8bJcRWgv3o 2:25)	; SMB2 Mushroom	: we got the ~ going (r G36FVZjrhGE 23:00)	; something bouncing on a music block	: ~? (r 37rEiTIav0o 12:24) (r WLZWPJQ9IuI 4:18)							
Banzai William	Banzai Bill	> Bullet William													
Bee Movie	Stingby	: the ~s! (p JVLAFSrpZQE 18:46)	> beeBobble												
beeBobble	Stingby	: ~? (p GB1KgH0iZGY 6:33); a lil ~ action? (p kY3N3FwDE1M 5:10)	> Bee Movie	; said when something is shaking rapidly	: this guy’s ~ing (p kY3N3FwDE1M 19:40); that Wiggler be bobblin’ though (p DG7FT1VRLp8 17:12)										
Bennett Foddy	a level where mistakes will result in a (major) loss of progress; usually a vertical level	: ~s; ~ level; we’re playing ~s; a little bit of some ~s action (p oand8mvTPPo 11:32)													
best level	an uninteresting level; usually either a trivial short level or a tedious long level	: ~ I’ve ever played; ~ of my life													
Big Bang Theory	(rays) being laughed at by the laughter sound effect; referencing canned laughter in tv shows	: he got ~d (r 992X8FP_1ac 7:00); I got ~d (r kgfuuFkYVRw 12:27)													
big boot guy	Goomba Shoe	: ~! (r TgvkyP6P0w4 10:51) (r IisH5nDAZts 12:17); I’m a ~ (r GXxl1J5d_VM 10:19); wait a minute, boot level? ~! (r D8bJcRWgv3o 3:06)	> boot												
big-boi	very big	: we hit ’em with the ~ jukes (p WS_167XY-u0 16:04)													
bingo	a game where there’s a 5×5 grid of tasks and the goal is to accomplish the majority, or get three lines of accomplished tasks, before the other player does	; said when accomplishing a task from a bingo game, outside of bingo	: yo, ~? (p i6f4xewhmKY 1:31)												
bitrate	said when many elements are moving on screen, such as intense visual effects, causing a drop in video quality due to a limited bitrate	: it was a ~ killer, probably (p rD_lxY6w3Go 23:31); yo, ~ killer, anybody? (p -AI9_ckc6TY 17:10)	> refreshing level												
BJR	Bowser Jr.	: defeat a ~ (p 7cP8zrdNh2g 0:00); ~! (p KohgQ4YCQu0 6:05)													
blank	said as replacement for a kanji when Panga doesn’t know its pronunciation when reading a Japanese level title out loud	: ~ ~ no ~ ~ (p O_fnDCJ_Iow 2:14)													
block	a block; pronounced with a dark ‘o’ sound; usually spelt like ‘bloq’ (p 0GfuIxuxYQk 19:25)	> box	: ~! (p -zJvRpVk0VE 18:35); what’s in the ~s (r b1i1PgV0IPU 8:40); hit the ~ (r 6bpawZth3xQ 6:17); we are on the ~ (r 6bpawZth3xQ 8:08); fully expected to get coin ~d there (p t5RfLFGTwa4 3:14); you have to wait so long for the blinky ~s (p KohgQ4YCQu0 19:26); Blink ~ Base (p Lo4Tlkw88q4 0:00); a little bit of invisible ~ finding (p AD7Fx9TCPYM 17:51); once you take the Warp ~, then don’t mess up (p yj2o9URvmdw 16:26); why did they put the ~s there? (r I5eCiy8nau0 8:55); ~s don’t respawn, unless it’s a vine ~ (p KlJDNTIOY8M 4:36)	;: question mark ~; POW ~ (r GXxl1J5d_VM 16:50); I do like how the cloud ~s have goggles (p AD7Fx9TCPYM 7:10)	> skull block; snake block; note block										
Bloopa	Blooper	: the ~! (r IisH5nDAZts 2:50); ~s! (p yj2o9URvmdw 10:43); ~, what are you doing here? (r 8FzHzmFn3FE 2:35) (r D8bJcRWgv3o 8:39); ~, what are you doing there? (p 4aRjPDZw9h4 14:30)													
Bloseph	(usually plural) Twister	: ~! (p 4bh5npaJI9I 6:52); not the ~s (p oBJvRsDUfxU 10:17) (p kY3N3FwDE1M 17:20), anything but the ~s (p 88YCdFznRk0 1:10)	> Blowey Joey; Joseph												
Blowey Joey	Twister	: I hate ~s, dude (p aykk1MWxpmo 19:37)	> Bloseph; Joseph												
blow up	> explode	: why do people ~? (r kJlr5SRyPMM 10:18)													
bomb excavation	when a large number of breakable blocks need to be destroyed through the use of bombs in order to proceed, this could be either Link’s bombs or Bob-Ombs; sometimes said sarcastically when there’s just one bomb (p ViUIXNvZ6ig 2:30)	: yo, ~? (p ewQjWBtLMBQ 12:05); this is some creative use of ~ (p O_fnDCJ_Iow 3:59); this level doesn’t seem bad, it has ~, but it’s not excessive (p -AI9_ckc6TY 9:36)	> Link tutorial												
bonk	a loss of momentum caused by a collision with a solid object	: tactical ~ (p jUPAlhDr4jY 7:00)	; stomping an enemy	: if I can ~ him somehow, then I’m out of here (p oBJvRsDUfxU 7:17)											
bons	Dry Bones	: defeat all twenty ~ (p ifawl3ZG0WU 2:29); woah, the ~es! (p 10cutE1byWM 10:31); that’s a lot of ~, man (r xlI1j2d9VJA 0:33)	;: ~ shell (p 88YCdFznRk0 4:36)	Dry Bones Shell	;: ~ fish; he’s throwing ~es (p oBJvRsDUfxU 7:17)	Fish Bone	;: I felt it in my ~ (p oand8mvTPPo 4:27)	; the bones that Dry Bones throw in Super Mario World style	: can you stop throwing ~es? (p 10cutE1byWM 10:31)						
bonz	> bons														
Boo	disliking a level; Panga tends to do this when levels are poorly designed or intentionally misleading, or containing dev paths  	;: double ~ (p 8DeYjI8B5KY 23:25) (p O_fnDCJ_Iow 3:01); triple ~	an especially bad level; a symbolical extra Boo, since you can only give a Boo once on a level	> Like; Meh											
boomer	Boomerang power-up	> we get to play as a													
boost	(mp) to bounce on top of another player’s head to gain more height	: we got a little ~ there (r SFoGw42eDIU 0:34); she ~ed me in (r b1i1PgV0IPU 17:06); oh! the ~ (r I5eCiy8nau0 1:28)	> boosties; cheese												
boosties	> boost														
boot	a Goomba Shoe; sometimes a Stiletto	: in the ~, out of the ~ (r heDOZqhGstU 2:14)	> big boot guy												
bop	said when hitting or bouncing on something	: so it’s right here, ~ (p AvGr3EAp0qI 18:14); so we go ~ (p GB1KgH0iZGY 5:51); you go ~ (p 10cutE1byWM 10:33) (p N0aeSTvRHs4 23:24)	> bonk												
box	any box-shaped object, sometimes a block; pronounced with a dark ‘o’ sound	: hit the block, what’s in the ~ (r 6bpawZth3xQ 6:17)	> block	; a Warp Box	: into the ~ (r kgfuuFkYVRw 13:15) (r bJh9Sp1K5tE 9:40) (r G36FVZjrhGE 33:23) (r SFoGw42eDIU 11:30)	; a Cannon Box	: now we’re a ~ (p 5aNKsVWCudQ 0:57)	; a Crate	: I guess we can use this ~ (p GB1KgH0iZGY 4:37); now we can get all the ~es (p GB1KgH0iZGY 5:51)						
bringing sth the distance	> distance														
Bro	(usually plural) Hammer Bro, Sledge Bro, or Fire Bro	: not the ~s (p oBJvRsDUfxU 12:45) (p KohgQ4YCQu0 7:41); you had to put in the ~s?; what’s with all the levels with ~s all of a sudden? every level has a ~ (p ewQjWBtLMBQ 16:25)													
Bros. vs. Todds	(mp) when, in a co-op match in the flobbies, a custom 2-v-2 is played; two teams are formed: one of Mario and Luigi (Bros.), one of Toad and Toadette (Todds); the extra rule is that you are allowed to teleport to your teammate; the first team of which one reaches the goal, wins	> Toads vs. Bros.; flobbies													
Brother	> Bro														
bubkes	nothing	: we get ~! (r PYtPjtCQ-dk 6:26); ~? (p rD_lxY6w3Go 14:25); and that’s ~, let me tell you (r KvI6_nBsR3E 2:34)													
buddy	used to address enemies	: what’s up, ~? (p oBJvRsDUfxU 7:17); sorry, ~	> our boi												
Bullet William	Bullet Bill	; a Bullet Bill Mask	: ooh, I’m a ~! (r 6wYESz2lxSw 11:33)	> Banzai William											
Bum Bum	Boom Boom	: ~? (r G36FVZjrhGE 3:55); it’s a ~ in our room (p OrY84mG_FPk 10:42)	> Pom Poms in your area												
cake	a secret to be found in Mario Maker anniversary levels	> true ending													
calculated	said when things perfectly come together, as if it were calculated in advance	: ~? (p i6f4xewhmKY 18:33); I ended up with one coin, though, that’s not ~ (p ewQjWBtLMBQ 1:45)	> optimal; tactical												
cape nash	Cape Feather	> check nash													
cc	(rays) clear condition	: there’s a ~ (r 755a6Oyknyc 2:03); got the ~ here (r UK0zzHK7ZsM 8:15); he doesn’t have the ~ (r U54Q5Uvz7UY 1:50); I ruined the ~ (r U54Q5Uvz7UY 3:03)	> clear con												
Ceave Gaming	a contraption using mechanics in a smart way; is a popular YouTuber known for his creative use of complex contraptions 	: we just had to whip up a quick little ~ action here (p ziQRvhamo98 50:18); we got some more ~ mechanics here (p U0fbf4ItXg4 7:15); now you’re gonna get ~ comeback (p aykk1MWxpmo 42:28); it’s got the mechanisms, you can see the ~ (p PMitnCSeq9I 13:39)													
certified	typical; a symbolical seal of approval of typicalness	: ~ Meh; ~ lag moment (r kJlr5SRyPMM 1:08); ~ little Timmy (p 8DeYjI8B5KY 10:00); ~ orb (r RVyXK-UKZP4 7:40)													
chair	said when Panga slides out of his chair to let it ‘play’ an auto level	: ~ gameplay													
check nash	checkpoint	: we got a ~ (p 88YCdFznRk0 7:11); quick lil ~ (p kY3N3FwDE1M 11:56)	> cape nash; check nation; checks and balances												
check nation	checkpoint	: ~! (p RyEasemaxjg 13:35)	> check nash												
checked	(rays) to have obtained a checkpoint	: we’re ~ (r U54Q5Uvz7UY 6:46)	> checked up; checkied up												
checked up	to have obtained a checkpoint	: we’re ~	> check nash; checkie												
checkie	checkpoint	: got the ~ (r -hIegAyEsGo 4:03)	> check nash												
checkied up	(rays) to have obtained a checkpoint	: we are ~ (r g7scQdpY8Ms 8:26) (r b1i1PgV0IPU 7:00)	> checkie; checked up												
checks and balances	checkpoint	: ~! (p 88YCdFznRk0 4:49); we got the ~ goin’ (p U0fbf4ItXg4 2:51)	> check nash												
cheese	shortcuts or skips unintended by the level creator	: ~ potential; ~ action; we’re doing a little ~ies (p GB1KgH0iZGY 5:06)	> action; -ies												
chonker	something large	: that’s a ~, dude (p BUCd0Lx4G18 14:10)	; large	: now we go ~ fire (p O_fnDCJ_Iow 19:00); it definitely looks like a ~ level (p 8RYG0HDB1ek 10:26)	> lengther; Coconut Mall	; Big Mushroom	: or another ~ (p KlJDNTIOY8M 0:11); are you exactly one and a half width as ~? (p KlJDNTIOY8M 0:22)	> chonky; huge; thicc; wide							
chonky	Big Mushroom	: we get to be ~!	> thicc; huge; wide	;: this lag kinda ~, dude (p DG7FT1VRLp8 2:30)	(mp) there is a lot of lag	> McDonald’s									
claw	a Claw	: not the ~; creative use of the ~ (p yj2o9URvmdw 9:12)	; gripping the controller such that multiple fingers are on top, allowing for more advanced button input combinations	: we’re bringing out the ~											
clear con	clear condition	> cc													
clinical	(rays) clean; smooth; without hesitations or mistakes	: that was ~ stuff (r XTNATMnFbLI 1:41); that was a ~ performance (r GXxl1J5d_VM 12:22)													
Coconut Mall	said when a level is long and uninteresting; Panga makes a timelapse of these levels when uploading it to YouTube, putting Coconut Mall from Mario Kart Wii as background music	: is this a certified ~? (p HomzYjonHjg 8:56); is this a ~er? (p VXSgpEAj3RQ 11:43); this might be, as we like to call, a ~er (p O_fnDCJ_Iow 19:11)													
coinage	coins; usually a lot of them	: now we get all these ~ (r 79Bu_EyCrec 16:59); we’re getting mad ~ (r MYbfAD9IQXI 23:13); got the ~ (r D8bJcRWgv3o 9:23)	> -age; fans; juice	; a pink coin	: ~ for the fans (p d1YGQSy0XAs 20:28)										
coming in hot	when an object or player is quickly approaching	: Luigi’s ~ (p O7s4w4n9l8g 19:57); Toad was coming in mad hot (r UK0zzHK7ZsM 0:36); I’m sorry, he came in too hot (r b1i1PgV0IPU 3:40); dude, Toadette was ~ (r b1i1PgV0IPU 23:40); that guy was coming back hot (p KlJDNTIOY8M 12:27)													
comments	the comments on a level	: goodbye, ~ (p PMitnCSeq9I 6:57)	> commenters; homie												
commenters	the people who write comments on a level	;: goodbye, ~	; said when turning off the visibility of comments, when they clutter the screen and obstruct important level elements 	: homie ~	> homie; comments										
commit	> send	: I didn’t fully ~; you gotta ~ on these (r k9a_0Az_wUo 5:56)													
connect-four	(mp) said when there’s no lag, which means all four players have a fresh internet connection	: this connection, though, a ~ (p DG7FT1VRLp8 4:42); it’s a good ~ here (p jUPAlhDr4jY 5:14)													
contribute	> group project	: Toddette, you gotta ~! (p jUPAlhDr4jY 14:45)													
cracked	(rays) playing very well	: dude, this Toad is kinda ~, though (r D8bJcRWgv3o 4:11); I’m actually kinda ~ (r 8QJZ2qEafnI 15:52) out of my mind (r RVyXK-UKZP4 10:34)	> gaming; nutter	; awesome	: this level is actually kinda ~ (r heDOZqhGstU 6:06); this level seems actually kinda ~ (r IisH5nDAZts 5:47)										
creative	a level with original ideas; often following the formula	: a ~ level, what the heck?; could be ~, though (p GB1KgH0iZGY 2:25); ~ Bum Bum fight, too (p rD_lxY6w3Go 2:28); this is extremely ~, what the heck (p rD_lxY6w3Go 3:23); this looks ~! I said it, am I gonna regret it? (p KlJDNTIOY8M 17:07)	> formula												
Cronchwrap Supreme	> Crunchwrap Supreme	: that would’ve been bad if I got ~d there (p 8RYG0HDB1ek 15:06); or if you get ~d (p GB1KgH0iZGY 4:14)													
Crunchwrap Supreme	getting crushed by a moving object, such as a Thwomp or a block	: I got ~d;	> Cronchwrap Supreme												
damage-boost	> d-boost														
d-boost	taking damage to get i-frames in order to complete a section more easily	: ~ Andy; tactical ~ (p 88YCdFznRk0 15:08)	> i-frame; tactical												
dc	(mp) disconnect	: someone’s gonna ~ here (p jUPAlhDr4jY 15:41)													
D-colon	expresses surprise; the D: emoticon looks like it has its mouth wide open	: ~! (p N0aeSTvRHs4 23:24); Yoshman, no! that’s a ~ (p PMitnCSeq9I 0:19)	> D-coloner	; digging through clouds with the SMB2 Mushroom	: ~! (p 88YCdFznRk0 3:51); I’m gonna ~ those blocks (p plGhCvU_e-A 8:50); we’ve got some ~s (p U0fbf4ItXg4 1:53)	; said when Panga swears	: don’t ~ me (p EYH_QvcDAAQ 14:35); also, ~ (p 8DeYjI8B5KY 10:53)								
D-coloner	a bummer	: that’s a ~ (p FDbcmweVvu4 0:47)	> D-colon												
deleted	> destroyed														
Desert Bus	(usually) a snake block; referencing a game where you have to constantly pay attention for a long time	: ~ action (p AvGr3EAp0qI 27:40); we got the ~ here (p ViUIXNvZ6ig 3:48); it’s another ~er (p ViUIXNvZ6ig 5:42)	> snake block												
destroyed	bested; defeated by a level element or another player	: Todd just got ~;	> deleted												
dev	a hidden level element only intended to be known by the level developer themselves, that facilitates beating (a section of) the level	;: ~ block	a hidden block, usually with a power-up like a Star, a vine to another section, or an element that completes a clear condition	;: ~ route; ~ path	a hidden path that skips (a section of) the level, usually accessible via an invisible block tower	> homie									
dip	(rays) speed	: a little more ~ on the chip (r g-ISK9A6ISk 11:00)	> overdip												
distance	: going the ~	traversing a long distance	;: bringing sth the ~	bringing an item a long distance	;: making the ~ (p 5LFA2f7uMd0 12:29)	to reach something from a long distance									
DLC	optional 	;: ~ content (p rD_lxY6w3Go 14:10)	optional rewards, such as 1-Ups, coins and power-ups, usually in a separate room; often requires extra effort to obtain	> juice	;: did he get ~’d? (r hg-8IUNw19g 1:45); ~ moment (r hg-8IUNw19g 1:45); I keep getting ~d! (p WS_167XY-u0 21:10)	(usually mp) to receive DLC as a reward, whereas you thought your progress was mandatory for clearing the level; to get distracted from the main path	;: ~ fight (p rhQTIT8WDaQ 4:51)	a boss fight where the boss has no key, making it useless to fight against it							
doggo	Chain Chomp	: ~! (p ViUIXNvZ6ig 3:51); not the ~s (p 8RYG0HDB1ek 0:09); we have to murder the ~? (p AD7Fx9TCPYM 18:10)													
donut	(rays) a Bumper	: not the ~ (r bJh9Sp1K5tE 2:56)													
double Boo	> Boo	: as usual, it gets the ~: fuck your dumb level (p AD7Fx9TCPYM 2:04)													
double Like	> Like	: we should give out ~s (p yj2o9URvmdw 3:22); that was a ~ (p yj2o9URvmdw 9:03); ~? (p KlJDNTIOY8M 20:38)													
download	> technology	: I ~ed the info (p 0aAGCMQOyE8 12:40)													
downtown	: from ~; a shot from ~	an item that hits a target from a long distance	;: destroyed from ~	absolutely destroyed	> destroyed	; from far in advance	: predicted from ~ (r 6bpawZth3xQ 7:03)	;: I’m making my way ~ (p N0aeSTvRHs4 11:02)	I’m making progress						
drainer	a level that takes many lives, usually in Endless mode	> juicer													
drop	: spring ~; POW ~;	dropping an item and landing on it in mid-air; usually to jump off of it and reach a greater height, which is a precise trick	; when a button input is dropped, it is ignored by the game	: my ~ed wall jump! (p kY3N3FwDE1M 14:35)	> eat										
dropping	(rays) said when players are dying or giving up in quick succession	: they’re ~ like flies (r kJlr5SRyPMM 1:17) (r 5rGSjMHHBaQ 1:55); they’re ~ like hot cakes out here (r 3vih4ac3f_c 2:25)	> flies; hot cakes												
dub	(mp) the win; short for ‘W’	: ~skie (r HIj_0glubU4 3:22); easy ~ (r XTNATMnFbLI 9:09); we’ve secured the ~ (p v11d0_CDmQE 14:10); incoming ~, ~ nation (r GXxl1J5d_VM 10:10); I told you I’d just go and steal the ~s (p ugyIPJoPiP4 27:00); alright, got the ~, pretty good (r heDOZqhGstU 2:14); this is a Raysfire ~ (r heDOZqhGstU 4:34)	> W; -skies												
duck twirl	(usually plural) a precise trick in New Soup consisting of ducking, performing a short jump, and twirling to fit through small gaps with a low ceiling	> New Soup; tech													
dumper	a door or pipe that directly dumps you onto the goal at the end	: it’s a ~ (p oBJvRsDUfxU 23:21) (p O_fnDCJ_Iow 12:05) (p ltUrXgCB3RU 31:10); I do see there’s ~ potential (r SFoGw42eDIU 2:22)	; a pipe that dispenses	: is this a ~? (p 8ieVtPx4iLY 12:04)	; a pipe that drops you from a large height	: it’s a ~ (p oBJvRsDUfxU 5:00)									
eat	when an button input is eaten, it is ignored by the game, which usually happens with bouncing objects or with lag in online play	: everything got eaten (p DG7FT1VRLp8 1:32)	> drop												
enlarged Bum Bum	a large Boom Boom	: it’s an ~! (p 88YCdFznRk0 21:18)	> Bum Bum												
equalizer	> flowchart; great equalizer	: the ~? (r kgfuuFkYVRw 11:28); this is definitely an ~ (r b1i1PgV0IPU 0:58)													
-erino	decorative suffix; for terms with one syllable that end in a ‘p’ or ‘k’	> ripperino; -skies; -age													
esthetics	> aesthetics														
explode	(rays mp) an instant death in place caused by starting over	: and then this dude just walks up and ~s (r oSGod9sWsss 7:21)	> blow up												
fannage	said when obtaining juice; often 10-, 30-, and 50-Coins	: ~? (p 8DeYjI8B5KY 8:50) (p rD_lxY6w3Go 1:05); a lil ~ maybe, question mark? (p GB1KgH0iZGY 16:10); a lil ~ action (p -AI9_ckc6TY 9:51)	> juice	; the fans themselves	: don’t worry, ~ (p 8v7PFpH7TXs 2:38)	> fans									
fans	addressing the fans when collecting rewards like coin medallions and 1-Ups	: gotchu, ~; you always gotta appease the ~ (p 5aNKsVWCudQ 1:57); sorry, ~ (p oDrwrxqLWvo 14:00)	> for the fans; fannage; tuber; Twitcher												
feller	Propeller Mushroom	: ~ stocks, ~ stocks on the rise (p JVLAFSrpZQE 8:29); big ~ guy (r iP0TFPXehuU 2:28); now is the time to invest in stonks, ~ stonks, that is (r heDOZqhGstU 11:48); ~ for the fans, you love to see it (r b1i1PgV0IPU 6:20)	> invest												
fifty	50-Coin	: there’s a bunch of ~s up there (p kY3N3FwDE1M 5:48); there’s a severe lack of ~s (p KlJDNTIOY8M 20:08)	> thirty; ten												
finagle	using tricky movement to obtain something	: she almost hit me with the ~ there (r oSGod9sWsss 0:49); ~d! (r vaIgCa0AcxM 5:16) (r UK0zzHK7ZsM 14:35) (r SFoGw42eDIU 3:22) (r IisH5nDAZts 5:06) (r I5eCiy8nau0 11:23); that guy almost pulled the ~ (r 3vih4ac3f_c 9:48); was that a ~, dude? (r SFoGw42eDIU 7:03)	> schmove; yoink	; to get destroyed	: my car got ~d (r UK0zzHK7ZsM 4:23)										
first-try holeage	> holeage														
five years	a very long time	: I have to wait ~ (p ViUIXNvZ6ig 4:55)	> ten years												
fivehead	clever; a wordplay on ‘forehead’	: ~ play (p oDrwrxqLWvo 2:23); ~ technology (r 4WknIFAe-tg 5:50) (r WZcTNkJFyYk 26:35)	; to outsmart	: did I just ~ that? (r SFoGw42eDIU 8:57)											
flaccid	disappointing; weak	: ~ throw (p 88YCdFznRk0 1:53)	;: ~ stairs (p jUPAlhDr4jY 18:26)	bonking on stairs	> perfect stairs	;: ~ ending	the regular ending of a level, without any bonus rewards	> true ending	;: ~ jump (r WZcTNkJFyYk 3:21)	an unintentionally short jump, usually with bouncy objects, such as note blocks, boots, bons, bumpers	> note block; boot; bons; donut	; losing a Big Mushroom, the opposite of thicc	: back to being ~ (p HHWaNzajseE 3:05)	; easy; the opposite of hard	: it’s not hard, it’s ~ (p 8v7PFpH7TXs 2:20)
flickshot	hitting a target by turning around for a split second	: what a ~! (p kY3N3FwDE1M 6:59); ~, 180, boom (p KlJDNTIOY8M 20:53)	> snipe; what a shot												
flies	> dropping; hot cakes	: they’re falling like ~ (r sQWvY0WitmU 3:44)													
flobbies	(mp) friend lobbies; a room where you can only enter with a passcode														
flowchart	(rays) an unavoidable obstacle for all players that allows slower players to catch up; usually a boss fight	: ~ moment (r 204ypKgqpPk 7:35) (r 8FzHzmFn3FE 8:11); double ~ (r D7xdB_HHFTM 7:04)	> equalizer; great equalizer												
